,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
93,"All Girls Are The Same","Juice WRLD",2004226,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
94,"Praise God","Kanye West",2000417,https://open.spotify.com/track/0Zm7NKJgoKY6ZWwtoEUILK
95,"N 2 Deep",Drake,1994152,https://open.spotify.com/track/34D6FJysnQioVingDKufuf
96,happier,"Olivia Rodrigo",1986658,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
97,"Come & Go (with Marshmello)","Juice WRLD",1976774,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
98,"Todo De Ti","Rauw Alejandro",1976745,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
99,"range brothers (with Kendrick Lamar)","Baby Keem",1975014,https://open.spotify.com/track/0UTyLmkQgPOEIz95OVAJTR
100,"Dreams - 2004 Remaster","Fleetwood Mac",1959961,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
101,"Papi’s Home",Drake,1947229,https://open.spotify.com/track/6jy9yJfgCsMHdu2Oz4BGKX
102,"Watermelon Sugar","Harry Styles",1944387,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
103,DÁKITI,"Bad Bunny",1924496,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
104,"REPEAT IT (with Gunna)","Lil Tecca",1914313,https://open.spotify.com/track/4s6vwFgPdCtidpEw8KuQT6
105,"SUVs (Black on Black)","Jack Harlow",1899759,https://open.spotify.com/track/1MIGkQxcdAt2lDx6ySpsc5
106,"EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)","DJ Khaled",1892076,https://open.spotify.com/track/1EJIcDYXwSqipW5dFe4uJz
107,"Lucid Dreams","Juice WRLD",1890296,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
108,"Space Song","Beach House",1876648,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
109,"DEAD RIGHT NOW","Lil Nas X",1868816,https://open.spotify.com/track/3grVoZ10bm2jUGpo7BxpuF
110,"Daddy Issues","The Neighbourhood",1868749,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
111,"Work Out","J. Cole",1860031,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO
112,"On My Side","YoungBoy Never Broke Again",1859480,https://open.spotify.com/track/3x68DX7Rt8MhQQZ43ouiq5
113,"Happier Than Ever - Edit","Billie Eilish",1857730,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
114,"Smells Like Teen Spirit",Nirvana,1837863,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
115,"m y . l i f e (with 21 Savage & Morray)","J. Cole",1820930,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
116,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",1819419,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
117,Bored,"Billie Eilish",1819325,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
118,Nevada,"YoungBoy Never Broke Again",1813756,https://open.spotify.com/track/1z5r74x9JY2OGK9pEClWSQ
119,"Electric Love",BØRNS,1813053,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
120,"Love All (with JAY-Z)",Drake,1806410,https://open.spotify.com/track/4VCbgIdr8ptegWeJpqLVHH
121,"SLOW DANCING IN THE DARK",Joji,1802223,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
122,"SUN GOES DOWN","Lil Nas X",1801373,https://open.spotify.com/track/6btdl1Vl6Ta5lUwUSOFW2H
123,"Pipe Down",Drake,1800790,https://open.spotify.com/track/11pEKMLmavDu8fxOB5QjbQ
124,"Life Support","YoungBoy Never Broke Again",1785811,https://open.spotify.com/track/1vERyqgnr9u4BnbLTKFNq6
125,"TALES OF DOMINICA","Lil Nas X",1784487,https://open.spotify.com/track/5S4PZ7AuYlYiVIVik3wHUf
126,"Wait a Minute!",WILLOW,1779135,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
127,"In Da Getto","J Balvin",1777834,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
128,"XO Tour Llif3","Lil Uzi Vert",1776381,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
129,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1773912,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
130,"Cigarette Daydreams","Cage The Elephant",1773858,https://open.spotify.com/track/0lkQOB949M2gLyut86aJ1b
131,Jail,"Kanye West",1760635,https://open.spotify.com/track/42ZrMq4BKsWDrrbMnMRYaK
132,"Astronaut In The Ocean","Masked Wolf",1759946,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
133,goosebumps,"Travis Scott",1756143,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
134,"Wishing Well","Juice WRLD",1755443,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
135,"Collard Greens","ScHoolboy Q",1753233,https://open.spotify.com/track/0zO8ctW0UiuOefR87OeJOZ
136,"Buy Dirt","Jordan Davis",1752904,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
137,Streets,"Doja Cat",1749582,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
138,"For Tonight",Giveon,1748344,https://open.spotify.com/track/61Emqg95O9zo1GNOcyxq4Y
139,Heather,"Conan Gray",1740137,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
140,"IMY2 (with Kid Cudi)",Drake,1739700,https://open.spotify.com/track/7F9cT6hIRhnFCYP6GKS0tf
141,505,"Arctic Monkeys",1711047,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
142,"I GUESS I'M IN LOVE","Clinton Kane",1706537,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
143,"Bad Morning","YoungBoy Never Broke Again",1702468,https://open.spotify.com/track/1vqhABGCfRUaN7UKK668jf
144,"Forever After All","Luke Combs",1701737,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
145,Sky,"Playboi Carti",1701442,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
146,"Money Trees","Kendrick Lamar",1688763,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
147,"p r i d e . i s . t h e . d e v i l (with Lil Baby)","J. Cole",1684606,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf
148,"Jocelyn Flores",XXXTENTACION,1682677,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
149,"Calling My Phone","Lil Tjay",1673988,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
150,Robbery,"Juice WRLD",1666995,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
151,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1665454,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
152,"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)","Tyler, The Creator",1661955,https://open.spotify.com/track/5B0kgjHULYJhAQkK5XsMoC
153,"Everybody Talks","Neon Trees",1658799,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq
154,"Best Friend (feat. Doja Cat)",Saweetie,1655230,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
155,"Whiskey Glasses","Morgan Wallen",1639354,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
