title,artist,songid,streams,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
DÁKITI,"Bad Bunny, Jhay Cortez",4MzXwWMhyBbmu6hOcLVD49,1253226,global,0.731,0.573,4.0,-10.059,0.0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090.0,4.0
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",7MAibcTli4IisCtbHKrGMh,1249676,global,0.586,0.616,5.0,-7.964,1.0,0.0324,0.182,0.0,0.0927,0.719,148.088,242096.0,4.0
happier,Olivia Rodrigo,2tGvwE8GcFKwNdAXMnlbfl,1239669,global,0.395,0.443,6.0,-9.72,1.0,0.133,0.765,9.67e-06,0.0839,0.338,168.924,175933.0,3.0
"Last One Standing (feat. Polo G, Mozzy & Eminem)",Skylar Grey,5W8HXMOMLtXLz0RGKUtnlZ,1230612,global,0.664,0.692,1.0,-4.128,0.0,0.127,0.237,0.0,0.0798,0.233,154.924,257369.0,4.0
Permission to Dance,BTS,5eXBXreN3d1zdj6Sa8dS0u,1224333,global,0.702,0.741,9.0,-5.33,1.0,0.0427,0.00544,0.0,0.337,0.646,124.925,187585.0,4.0
Dark Red,Steve Lacy,37y7iDayfwm3WXn5BiAoRk,1220941,global,0.603,0.783,6.0,-4.023,1.0,0.062,0.449,7.96e-06,0.119,0.775,172.041,173104.0,4.0
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,1196266,global,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,4.0
Mood (feat. iann dior),24kGoldn,4jPy3l0RUwlUI9T5XHBW2m,1188497,global,0.701,0.716,7.0,-3.671,0.0,0.0361,0.174,0.0,0.324,0.732,91.007,140533.0,4.0
Dynamite,BTS,4saklk6nie3yiGePpBwUoc,1180990,global,0.746,0.765,6.0,-4.41,0.0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054.0,4.0
Wildest Dreams (Taylor's Version),Taylor Swift,1Ov37jtRQ2YNAe8HzfczkL,1167262,global,0.583,0.67,8.0,-7.289,1.0,0.0646,0.0374,0.0001,0.126,0.498,140.061,220433.0,4.0
Don't Start Now,Dua Lipa,3PfIrDoz19wz7qK7tYeu62,1157719,global,0.793,0.793,11.0,-4.521,0.0,0.083,0.0123,0.0,0.0951,0.679,123.95,183290.0,4.0
Leave Before You Love Me (with Jonas Brothers),Marshmello,4qu63nuBpdn0qHUHuObEj1,1155053,global,0.721,0.738,7.0,-4.77,1.0,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983.0,4.0
Love Again,Dua Lipa,4rPkN1FMzQyFNP9cLUGIIB,1153306,global,0.659,0.667,11.0,-4.668,0.0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,258004.0,4.0
Savage,aespa,3dbLT62Cvs46Ju7a8gpr36,1144106,global,0.727,0.879,9.0,-1.167,1.0,0.129,0.124,1.17e-05,0.244,0.671,146.959,238144.0,4.0
Freaks,Surf Curse,7EkWXAI1wn8Ii883ecd9xr,1139775,global,0.345,0.941,9.0,-9.918,1.0,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062.0,4.0
Entre Nosotros,"Tiago PZK, LIT killah",6w8yBI2vthyN9UnwO4UBWb,1133491,global,0.729,0.513,5.0,-6.345,0.0,0.0455,0.494,1.1e-06,0.137,0.789,170.064,192353.0,3.0
Happier Than Ever - Edit,Billie Eilish,32BeYxKPrig1LefHsC0Xuo,1112736,global,0.334,0.599,0.0,-5.742,1.0,0.0365,0.0468,0.000392,0.205,0.127,161.74,151444.0,3.0
Like I Can,Sam Smith,0mJBiaODgK0XjOLCN5fItq,1106014,global,0.656,0.627,7.0,-6.627,0.0,0.0379,0.343,2.17e-05,0.124,0.481,99.933,167066.0,4.0
SEJODIOTO,KAROL G,704LUEih663hiE3CnyUrFW,1096256,global,0.822,0.736,1.0,-3.969,1.0,0.15,0.157,0.000781,0.0748,0.679,175.93,181107.0,4.0
lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,1091986,global,0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284,200186.0,4.0
Love Tonight - Edit,Shouse,6OufwUcCqo81guU2jAlDVP,1091223,global,0.727,0.681,5.0,-7.114,0.0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,241970.0,4.0
I GUESS I'M IN LOVE,Clinton Kane,1is8gU4RVcN4J8xItxWoOY,1075081,global,0.422,0.34,0.0,-6.577,1.0,0.0351,0.877,1.77e-05,0.149,0.223,77.213,204094.0,4.0
edamame (feat. Rich Brian),bbno$,1uMHCAyGmHqyygoNRuo7MV,1066424,global,0.815,0.848,4.0,-4.704,0.0,0.115,0.023,0.000162,0.0265,0.684,106.032,133707.0,4.0
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,30QR0ndUdiiMQMA9g1PGCm,1048914,global,0.792,0.511,2.0,-6.876,1.0,0.0409,0.124,9.04e-05,0.14,0.111,113.983,168490.0,4.0
Miénteme,"TINI, Maria Becerra",0cOa970mzTWAxKtltpkpLc,1047715,global,0.85,0.541,2.0,-4.522,1.0,0.0674,0.161,5.01e-06,0.286,0.916,92.003,165275.0,4.0
Ain't Shit,Doja Cat,5lAnYvAIkSDNXqfo7DyFUm,1042178,global,0.855,0.488,3.0,-4.601,1.0,0.208,0.506,0.0,0.347,0.619,124.097,174253.0,4.0
Pareja Del Año,"Sebastian Yatra, Myke Towers",2rCbl9naJYhaxjLsfx88uM,1038939,global,0.715,0.622,4.0,-5.102,0.0,0.046,0.163,0.0,0.0948,0.808,80.015,195053.0,4.0
Summer of Love (Shawn Mendes & Tainy),Shawn Mendes,0z8hI3OPS8ADPWtoCjjLl6,1038933,global,0.776,0.808,11.0,-4.501,1.0,0.117,0.0297,0.000127,0.103,0.494,123.988,184104.0,4.0
Una Nota,"J Balvin, Sech",7iqOIHHEmu6Vhw25GgQ2eA,1037991,global,0.662,0.788,3.0,-4.55,0.0,0.205,0.0191,0.0,0.0559,0.711,179.876,170760.0,4.0
Astronaut In The Ocean,Masked Wolf,6E90gq0KO6FYZVOXx8kCcC,1035656,global,0.778,0.695,4.0,-6.865,0.0,0.0913,0.175,0.0,0.15,0.472,149.996,132780.0,4.0
The Business,Tiësto,6f3Slt0GbA2bPZlz0aIFXN,1033468,global,0.798,0.62,8.0,-7.079,0.0,0.232,0.414,0.0192,0.112,0.235,120.031,164000.0,4.0
Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v,1029909,global,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,263400.0,3.0
favorite crime,Olivia Rodrigo,5JCoSi02qi3jJeHdZXMmR8,1014493,global,0.369,0.272,9.0,-10.497,1.0,0.0364,0.866,0.0,0.147,0.218,172.929,152667.0,4.0
LOCO,ITZY,59c0HrzmHfyQs6LgDw5cHe,1009643,global,0.759,0.886,1.0,-3.067,1.0,0.187,0.0103,2.04e-05,0.342,0.489,102.065,191462.0,4.0
"jealousy, jealousy",Olivia Rodrigo,0MMyJUC3WNnFS1lit5pTjk,1009089,global,0.695,0.575,10.0,-6.334,0.0,0.116,0.198,0.0,0.0614,0.699,163.929,173160.0,4.0
Save Your Tears,The Weeknd,5QO79kh1waicV47BqGRL3g,1008414,global,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627.0,4.0
